ProductID	ProductName	ProductGroupID	Price
1	Camera	3	1462.030723
2	Smartwatch	7	1932.464352
3	Speaker	18	339.6663648
4	Camera	11	1122.867023
5	Smartphone	20	524.4036464
6	Camera	15	1898.948702
7	Headphone	4	1029.473496
8	Smartphone	14	1144.351063
9	Router	7	1486.242293
10	Headphone	16	322.2082006
11	Speaker	15	1648.057096
12	Router	8	1838.691444
13	Tablet	5	836.0882854
14	Laptop	15	864.531579
15	Smartwatch	18	1066.37473
16	Tablet	5	1090.349607
17	Laptop	13	1379.667413
18	Router	4	1217.724771
19	Desktop	14	1995.952157
20	Desktop	18	445.9144279
21	Speaker	3	483.1827648
22	Printer	7	1012.974157
23	Headphone	11	762.1938095
24	Speaker	10	1915.455841
25	Router	12	776.3164739
26	Laptop	7	1677.740015
27	Speaker	14	444.2443753
28	Tablet	1	1291.946402
29	Camera	14	897.4354481
30	Headphone	15	1326.190925
31	Headphone	1	623.6542323
32	Laptop	16	1607.448506
33	Router	9	106.0127699
34	Speaker	7	854.4301521
35	Desktop	13	1897.740142
36	Smartwatch	14	1020.088557
37	Desktop	8	1666.553895
38	Laptop	16	373.6837949
39	Laptop	13	890.1517312
40	Router	5	864.6099773
41	Laptop	7	624.6802878
42	Speaker	3	1434.32895
43	Router	11	1178.75388
44	Speaker	11	1384.530569
45	Camera	20	1907.076789
46	Tablet	4	1397.2
47	Speaker	8	468.3020068
48	Desktop	6	220.255631
49	Desktop	3	410.3400496
50	Headphone	12	257.2911586
51	Smartwatch	4	122.6724685
52	Camera	19	988.0390783
53	Laptop	7	223.9875499
54	Printer	3	403.6602482
55	Camera	11	625.2696302
56	Router	6	1888.377977
57	Camera	8	618.3007447
58	Speaker	3	1711.306044
59	Tablet	3	1571.761394
60	Desktop	18	387.6021344
61	Smartphone	18	1461.769764
62	Router	3	255.7004666
63	Smartwatch	17	1743.682698
64	Tablet	20	1444.094985
65	Smartphone	8	889.8253542
66	Smartphone	20	1032.810781
67	Printer	7	932.1386591
68	Headphone	19	289.9726206
69	Smartphone	6	1202.936405
70	Laptop	2	758.0204697
71	Smartphone	8	1761.45624
72	Router	14	1021.542142
73	Laptop	9	617.3032884
74	Laptop	15	537.6670064
75	Smartphone	6	116.1084997
76	Printer	7	633.4822264
77	Smartwatch	3	1481.805066
78	Camera	16	861.5290689
79	Smartwatch	18	1466.19735
80	Router	14	1110.344861
81	Speaker	6	1397.121106
82	Camera	10	331.8851067
83	Smartwatch	6	1130.294583
84	Router	11	841.464121
85	Desktop	17	894.4040885
86	Camera	13	200.2116738
87	Router	13	571.0712246
88	Desktop	9	847.0607099
89	Laptop	20	1669.352197
90	Headphone	1	1282.797235
91	Printer	13	1603.736004
92	Laptop	6	1556.79539
93	Tablet	5	1157.280033
94	Printer	10	913.8845993
95	Tablet	17	1073.285437
96	Headphone	16	1512.649437
97	Laptop	16	1994.171922
98	Desktop	20	963.8810448
99	Laptop	11	1846.953378
100	Smartwatch	19	1531.125642
101	Tablet	12	432.2479006
102	Speaker	8	1142.581591
103	Tablet	19	408.6397282
104	Headphone	1	1141.55855
105	Printer	19	993.9937103
106	Smartwatch	6	1595.996633
107	Tablet	6	248.0466017
108	Smartwatch	5	1135.629112
109	Router	2	664.8091156
110	Laptop	16	471.7265738
111	Smartphone	5	948.842764
112	Desktop	3	1789.547272
